customer_id,email,first_name,last_name,city,phone_number,source_system,timestamp
965,user604@test.com,Alice,Johnson,Manchester,0798765432,facebook,2024-02-19 00:00:00
1925,user1214@test.com,Diana,Williams,Manchester,0712345678,facebook,2024-09-05 00:00:00
1277,user806@test.com,Alice,Brown,Manchester,0788888888,instagram,2024-08-28 00:00:00
2241,user1396@test.com,Alice,Williams,Bristol,0712345678,google,2025-10-04 00:00:00
1948,user1227@test.com,Diana,Johnson,Bristol,,linkedin,2024-07-19 00:00:00
147,user92@test.com,Bob,Smith,,0798765432,google,2024-10-08 00:00:00
2595,user1620@test.com,Bob,Williams,,0712345678,linkedin,2024-07-28 00:00:00
1405,user884@test.com,Alice,Taylor,,0712345678,linkedin,2024-06-09 00:00:00
720,user440@test.com,Diana,Taylor,,0788888888,linkedin,2024-03-14 00:00:00
1206,user761@test.com,Eve,Johnson,Manchester,,linkedin,2024-12-26 00:00:00
1251,user787@test.com,Alice,Taylor,Manchester,0712345678,linkedin,2024-06-05 00:00:00
2259,user1407@test.com,Alice,Williams,Leeds,0798765432,facebook,2024-03-19 00:00:00
669,user411@test.com,Bob,Brown,London,0712345678,instagram,2024-05-12 00:00:00
371,user231@test.com,Alicia,Johnson,Manchester,0788888888,instagram,2025-09-25 00:00:00
643,user396@test.com,Eve,Smith,,0788888888,linkedin,2024-10-11 00:00:00
1184,user744@test.com,Diana,Smith,Leeds,0712345678,linkedin,2025-06-27 00:00:00
1068,user663@test.com,Frank,Smith,,0788888888,facebook,2024-07-31 00:00:00
201,user123@test.com,Diana,Smith,Leeds,0788888888,facebook,2024-09-04 00:00:00
480,user298@test.com,Alicia,Johnson,Bristol,0712345678,instagram,2024-10-27 00:00:00
636,user393@test.com,Alicia,Smith,,0712345678,instagram,2024-08-08 00:00:00
639,user395@test.com,Eve,Williams,Manchester,0798765432,linkedin,2024-04-25 00:00:00
1193,user750@test.com,Alice,Smith,,0788888888,google,2024-12-26 00:00:00
1588,user1002@test.com,Frank,Taylor,Bristol,0788888888,google,2024-03-03 00:00:00
2959,user1845@test.com,Bob,Brown,London,0712345678,google,2024-11-13 00:00:00
1786,user1128@test.com,Alice,Williams,Bristol,0798765432,linkedin,2025-01-01 00:00:00
2691,user1675@test.com,Alice,Brown,Leeds,0712345678,linkedin,2024-07-06 00:00:00
2083,user1301@test.com,Charlie,Taylor,Manchester,0798765432,google,2024-04-20 00:00:00
1329,user834@test.com,Bob,Taylor,Leeds,0788888888,facebook,2025-04-26 00:00:00
2658,user1654@test.com,Frank,Taylor,,0798765432,google,2024-11-19 00:00:00
1548,user976@test.com,Eve,Brown,Manchester,0798765432,linkedin,2025-03-29 00:00:00
1153,user722@test.com,Alice,Johnson,,,facebook,2024-11-30 00:00:00
75,user46@test.com,Bob,Johnson,Leeds,,instagram,2024-12-14 00:00:00
2622,user1635@test.com,Bob,Brown,Manchester,0798765432,linkedin,2024-04-24 00:00:00
555,user339@test.com,Bob,Johnson,London,0788888888,linkedin,2025-05-03 00:00:00
280,user172@test.com,Alice,Taylor,London,0712345678,google,2024-02-29 00:00:00
1752,user1106@test.com,Bob,Brown,Bristol,,instagram,2025-02-02 00:00:00
2815,user1758@test.com,Frank,Smith,Bristol,,instagram,2024-12-31 00:00:00
2038,user1277@test.com,Alicia,Williams,Leeds,0788888888,linkedin,2025-03-21 00:00:00
691,user425@test.com,Alicia,Williams,London,0788888888,google,2024-12-05 00:00:00
739,user453@test.com,Alice,Brown,Manchester,0712345678,facebook,2024-04-27 00:00:00
3183,user1986@test.com,Diana,Johnson,Leeds,0788888888,google,2024-10-13 00:00:00
705,user434@test.com,Frank,Taylor,Leeds,0798765432,facebook,2024-06-16 00:00:00
3156,user1971@test.com,Alice,Brown,Leeds,0788888888,instagram,2024-10-03 00:00:00
2280,user1421@test.com,Alice,Williams,,0798765432,instagram,2024-06-29 00:00:00
3106,user1937@test.com,Eve,Williams,Bristol,0788888888,linkedin,2024-07-02 00:00:00
2912,user1816@test.com,Bob,Johnson,London,0788888888,facebook,2024-04-20 00:00:00
29,user17@test.com,Bob,Smith,Leeds,,facebook,2024-11-12 00:00:00
1219,user766@test.com,Diana,Williams,Bristol,0712345678,facebook,2024-10-03 00:00:00
1507,user948@test.com,Eve,Smith,Leeds,,linkedin,2025-02-28 00:00:00
380,user238@test.com,Alice,Williams,Leeds,,google,2024-11-12 00:00:00
451,user281@test.com,Frank,Smith,London,,google,2024-04-20 00:00:00
3078,user1920@test.com,Eve,Brown,,,linkedin,2025-06-14 00:00:00
1655,user1045@test.com,Alice,Brown,,0712345678,google,2025-02-17 00:00:00
866,user533@test.com,Frank,Taylor,Bristol,0712345678,linkedin,2024-05-21 00:00:00
1487,user935@test.com,Alice,Smith,Manchester,0712345678,instagram,2024-02-16 00:00:00
983,user613@test.com,Eve,Brown,London,0788888888,google,2024-09-25 00:00:00
314,user194@test.com,Bob,Taylor,Manchester,,google,2024-12-07 00:00:00
1694,user1068@test.com,Frank,Taylor,Manchester,0798765432,facebook,2025-08-12 00:00:00
1265,user795@test.com,Alicia,Brown,Leeds,,instagram,2024-08-21 00:00:00
3141,user1961@test.com,Alice,Johnson,Manchester,0788888888,facebook,2024-10-28 00:00:00
1536,user970@test.com,Frank,Johnson,,0798765432,linkedin,2024-12-04 00:00:00
1328,user833@test.com,Eve,Brown,London,,google,2024-12-03 00:00:00
2039,user1278@test.com,Eve,Johnson,,,google,2024-11-07 00:00:00
2670,user1660@test.com,Eve,Taylor,Leeds,0788888888,instagram,2024-06-23 00:00:00
1910,user1204@test.com,Eve,Johnson,Manchester,0788888888,google,2024-08-02 00:00:00
2147,user1340@test.com,Bob,Williams,London,0798765432,google,2024-08-22 00:00:00
1881,user1185@test.com,Diana,Smith,Bristol,0798765432,google,2024-05-14 00:00:00
2597,user1622@test.com,Bob,Williams,,0788888888,linkedin,2025-02-21 00:00:00
184,user113@test.com,Diana,Smith,Bristol,0798765432,facebook,2024-06-24 00:00:00
1097,user681@test.com,Eve,Brown,Leeds,0712345678,facebook,2024-03-28 00:00:00
806,user494@test.com,Alice,Williams,Bristol,0712345678,facebook,2024-08-19 00:00:00
2976,user1856@test.com,Alice,Brown,London,0712345678,linkedin,2024-11-29 00:00:00
