customer_id,email,first_name,last_name,city,phone_number,source_system,timestamp
1,user1@test.com,Alice,Martinez,Liverpool,0798765432,facebook,2025-01-01 23:49:28
2,user2@test.com,Charlie,Rodriguez,Bristol,,google,2025-01-01 19:15:19
3,user3@test.com,Eve,Williams,Liverpool,0798765432,instagram,2025-01-01 18:58:09
4,user4@test.com,Diana,Brown,Manchester,0712345678,google,2025-01-01 23:00:31
5,user5@test.com,Alice,Rodriguez,Birmingham,,instagram,2025-01-01 02:02:46
6,user6@test.com,Eve,Martinez,London,0712345678,google,2025-01-01 02:11:01
7,user7@test.com,Alice,Williams,Newcastle,,instagram,2025-01-01 22:09:48
8,user8@test.com,Alicia,Davis,Manchester,0788888888,instagram,2025-01-01 02:25:01
9,user9@test.com,Grace,Taylor,Birmingham,0755555555,instagram,2025-01-01 04:16:45
10,user10@test.com,Eve,Davis,Leeds,0788888888,linkedin,2025-01-01 03:32:15
11,user11@test.com,Eve,Davis,Birmingham,0788888888,linkedin,2025-01-01 08:41:15
12,user12@test.com,Henry,Miller,Liverpool,0798765432,linkedin,2025-01-01 05:42:07
13,user13@test.com,Grace,Rodriguez,Leeds,0788888888,linkedin,2025-01-01 14:58:59
14,user14@test.com,Diana,Brown,Leeds,0755555555,linkedin,2025-01-01 10:29:12
15,user15@test.com,Frank,Williams,London,0755555555,instagram,2025-01-01 14:48:43
16,user16@test.com,Bob,Miller,London,0712345678,linkedin,2025-01-01 21:23:08
17,user17@test.com,Frank,Smith,Manchester,0798765432,linkedin,2025-01-01 16:42:56
18,user18@test.com,Bob,Garcia,Manchester,0712345678,instagram,2025-01-01 07:03:20
19,user19@test.com,Charlie,Garcia,Leeds,0788888888,instagram,2025-01-01 11:08:13
20,user20@test.com,Ivy,Smith,Leeds,0755555555,linkedin,2025-01-01 08:37:48
21,user21@test.com,Henry,Johnson,Newcastle,0788888888,facebook,2025-01-01 22:59:09
22,user22@test.com,Alicia,Davis,Leeds,,facebook,2025-01-01 02:59:00
23,user23@test.com,Grace,Smith,Newcastle,0712345678,facebook,2025-01-01 01:10:34
24,user24@test.com,Frank,Martinez,,0755555555,facebook,2025-01-01 22:23:01
25,user25@test.com,Grace,Garcia,Newcastle,0798765432,facebook,2025-01-01 20:03:35
26,user26@test.com,Bob,Rodriguez,Newcastle,0788888888,instagram,2025-01-01 16:31:50
27,user27@test.com,Bob,Garcia,,0755555555,google,2025-01-01 23:09:13
28,user28@test.com,Eve,Smith,Liverpool,0755555555,linkedin,2025-01-01 21:20:17
29,user29@test.com,Henry,Taylor,,,facebook,2025-01-01 18:08:51
30,user30@test.com,Charlie,Rodriguez,London,0755555555,google,2025-01-01 07:04:44
31,user31@test.com,Bob,Brown,Bristol,0788888888,facebook,2025-01-01 00:36:57
32,user32@test.com,Bob,Rodriguez,Leeds,,google,2025-01-01 21:58:42
33,user33@test.com,Grace,Brown,Leeds,0712345678,facebook,2025-01-01 13:51:55
34,user34@test.com,Eve,Brown,Liverpool,0798765432,instagram,2025-01-01 21:45:08
35,user35@test.com,Alice,Miller,Manchester,0798765432,instagram,2025-01-01 04:06:53
36,user36@test.com,Alice,Miller,Bristol,0788888888,google,2025-01-01 10:39:03
37,user37@test.com,Ivy,Rodriguez,Leeds,0788888888,facebook,2025-01-01 14:41:49
38,user38@test.com,Frank,Rodriguez,Leeds,0788888888,google,2025-01-01 12:23:59
39,user39@test.com,Diana,Johnson,Bristol,0788888888,facebook,2025-01-01 22:20:03
40,user40@test.com,Ivy,Martinez,Birmingham,0798765432,google,2025-01-01 09:17:44
41,user41@test.com,Bob,Miller,Birmingham,,instagram,2025-01-01 13:38:37
42,user42@test.com,Alicia,Rodriguez,Manchester,0788888888,google,2025-01-01 04:22:06
43,user43@test.com,Eve,Smith,,0712345678,instagram,2025-01-01 23:10:19
44,user44@test.com,Bob,Martinez,Newcastle,,google,2025-01-01 00:46:58
45,user45@test.com,Bob,Williams,Leeds,0712345678,instagram,2025-01-01 13:26:06
