customer_id,email,first_name,last_name,city,phone_number,source_system,timestamp
1,user1@test.com,Diana,Miller,Liverpool,0712345678,facebook,2025-01-01 14:14:50
2,user2@test.com,Bob,Taylor,London,0788888888,google,2025-01-01 19:41:41
3,user3@test.com,Alice,Smith,Newcastle,0798765432,facebook,2025-01-01 20:20:46
4,user4@test.com,Henry,Williams,Liverpool,,facebook,2025-01-01 04:21:01
5,user5@test.com,Diana,Rodriguez,Bristol,,google,2025-01-01 13:39:14
6,user6@test.com,Grace,Miller,Bristol,0755555555,facebook,2025-01-01 08:18:05
7,user7@test.com,Alicia,Garcia,London,0788888888,instagram,2025-01-01 12:18:44
8,user8@test.com,Alice,Johnson,Leeds,0712345678,facebook,2025-01-01 06:29:16
9,user9@test.com,Charlie,Davis,Manchester,0798765432,facebook,2025-01-01 01:47:37
10,user10@test.com,Grace,Martinez,Liverpool,,linkedin,2025-01-01 09:07:34
11,user11@test.com,Diana,Smith,Leeds,0755555555,facebook,2025-01-01 19:17:18
12,user12@test.com,Grace,Rodriguez,,0712345678,instagram,2025-01-01 02:46:40
13,user13@test.com,Grace,Davis,Liverpool,0755555555,instagram,2025-01-01 19:18:09
14,user14@test.com,Ivy,Garcia,Newcastle,,linkedin,2025-01-01 07:12:49
15,user15@test.com,Alicia,Brown,London,0798765432,google,2025-01-01 19:21:30
16,user16@test.com,Frank,Rodriguez,,0788888888,linkedin,2025-01-01 01:55:40
17,user17@test.com,Grace,Smith,Newcastle,0712345678,google,2025-01-01 23:14:05
18,user18@test.com,Alice,Garcia,Leeds,0788888888,instagram,2025-01-01 05:04:12
19,user19@test.com,Frank,Garcia,Bristol,0712345678,facebook,2025-01-01 06:49:49
20,user20@test.com,Bob,Garcia,Bristol,0755555555,facebook,2025-01-01 19:25:03
21,user21@test.com,Alice,Smith,Leeds,,instagram,2025-01-01 12:55:34
22,user22@test.com,Frank,Davis,Bristol,0712345678,instagram,2025-01-01 13:46:52
23,user23@test.com,Henry,Brown,Manchester,0788888888,google,2025-01-01 05:21:14
24,user24@test.com,Diana,Rodriguez,Liverpool,,facebook,2025-01-01 01:25:32
25,user25@test.com,Alicia,Johnson,Manchester,0755555555,google,2025-01-01 16:34:52
26,user26@test.com,Ivy,Davis,Bristol,0755555555,linkedin,2025-01-01 13:44:33
27,user27@test.com,Alicia,Martinez,London,,linkedin,2025-01-01 11:06:45
28,user28@test.com,Ivy,Rodriguez,Leeds,0712345678,instagram,2025-01-01 13:31:29
29,user29@test.com,Ivy,Johnson,Manchester,0798765432,google,2025-01-01 16:13:23
30,user30@test.com,Charlie,Miller,Manchester,0798765432,instagram,2025-01-01 09:28:52
31,user31@test.com,Ivy,Johnson,Newcastle,,facebook,2025-01-01 19:28:24
32,user32@test.com,Ivy,Johnson,Manchester,,linkedin,2025-01-01 14:12:04
